player_name,death_sr_overall,sr_vs_ra_fast,sr_vs_la_fast,sr_vs_ra_off_spin,sr_vs_ra_leg_spin,sr_vs_la_spin,sr_vs_la_chinaman
RR Hendricks,164.29,171.43,85.71,164.29,164.29,164.29,164.29
SA Abbott,100.0,102.08,0.0,100.0,100.0,100.0,100.0
Sompal Kami,128.72,126.94,600.0,128.72,128.72,0.0,128.72
Aizaz Khan,150.35,149.82,150.35,50.0,220.0,150.35,150.35
Anas Khan,119.51,119.51,119.51,119.51,119.51,119.51,119.51
RR Rossouw,173.96,167.86,173.96,173.96,173.96,216.67,173.96
MN van Wyk,244.44,244.44,244.44,244.44,244.44,244.44,244.44
SS Cottrell,57.14,55.0,57.14,57.14,57.14,100.0,57.14
Haris Sohail,122.22,130.77,142.86,122.22,122.22,85.71,122.22
R Mutumbami,125.0,125.0,125.0,125.0,125.0,125.0,125.0
Mohammad Rizwan,161.59,162.87,118.18,161.59,200.0,166.67,100.0
Imad Wasim,148.77,145.86,176.47,148.77,160.0,148.77,148.77
TE Kane,142.11,142.11,142.11,142.11,142.11,142.11,142.11
PL Mommsen,159.57,159.57,159.57,159.57,159.57,159.57,159.57
SW Billings,163.12,174.05,16.67,163.12,163.12,25.0,163.12
DJ Willey,133.58,133.33,100.0,33.33,133.58,100.0,350.0
Karan KC,168.91,169.92,50.0,168.91,168.91,168.91,168.91
SJ Myburgh,137.5,137.5,137.5,137.5,137.5,137.5,137.5
MP O'Dowd,141.82,144.08,141.82,115.38,141.82,141.82,141.82
PS Airee,180.0,180.0,180.0,180.0,180.0,180.0,180.0
Liton Das,131.75,136.07,131.75,0.0,0.0,131.75,131.75
Mustafizur Rahman,63.71,60.0,0.0,63.71,63.71,63.71,233.33
Rony Talukdar,91.67,91.67,91.67,91.67,91.67,91.67,91.67
Mohammad Naveed,129.0,129.0,129.0,129.0,129.0,129.0,129.0
AC Evans,76.92,76.92,76.92,76.92,76.92,76.92,76.92
MRJ Watt,123.39,119.75,123.39,140.0,200.0,160.0,123.39
Abdul Shakoor,104.17,104.17,104.17,104.17,104.17,104.17,104.17
WTS Porterfield,96.43,96.43,96.43,96.43,96.43,96.43,96.43
JB Reva,61.54,61.54,61.54,61.54,61.54,61.54,61.54
JNT Vare,115.79,115.79,115.79,115.79,115.79,115.79,115.79
N Vanua,137.5,140.11,40.0,137.5,137.5,137.5,137.5
KD Shah,131.34,130.95,131.34,183.33,0.0,131.34,131.34
Babar Hayat,192.27,192.13,192.27,192.27,200.0,192.27,192.27
MS Chapman,150.0,145.8,169.7,150.0,220.0,150.0,150.0
SW Poynter,107.14,107.69,107.14,107.14,107.14,107.14,100.0
MK Pandey,145.5,146.6,145.5,145.5,145.5,145.5,100.0
KM Jadhav,148.15,148.15,148.15,148.15,148.15,148.15,148.15
N Madziva,110.42,110.42,110.42,110.42,110.42,110.42,110.42
SV Samson,129.49,129.49,129.49,129.49,129.49,129.49,129.49
AR Patel,129.76,131.62,100.0,111.11,66.67,100.0,129.76
CA Young,75.53,81.4,16.67,75.53,75.53,75.53,0.0
TAM Siriwardana,114.29,128.3,0.0,50.0,114.29,114.29,114.29
B Fernando,94.74,83.87,100.0,94.74,150.0,94.74,94.74
MD Shanaka,143.38,149.66,117.86,30.0,71.43,100.0,116.67
AM Phangiso,80.0,80.0,80.0,80.0,80.0,80.0,80.0
K Rabada,115.27,114.53,145.45,115.27,33.33,115.27,115.27
MP Stoinis,161.72,159.84,136.84,261.54,233.33,100.0,33.33
LM Jongwe,144.78,144.78,144.78,144.78,144.78,144.78,144.78
GSNFG Jayasuriya,127.08,133.33,50.0,0.0,133.33,127.08,127.08
PVD Chameera,80.0,80.21,33.33,100.0,100.0,100.0,66.67
TS Chisoro,89.29,89.29,89.29,89.29,89.29,89.29,89.29
Zeeshan Siddiqui,87.5,87.5,87.5,87.5,87.5,87.5,87.5
Aamir Kaleem,140.85,140.3,166.67,140.85,140.85,140.85,100.0
Amir Ali,158.33,158.33,158.33,158.33,158.33,158.33,158.33
Sultan Ahmed,97.67,97.67,97.67,97.67,97.67,97.67,97.67
C Carter,109.68,109.68,109.68,109.68,109.68,109.68,109.68
LE Plunkett,123.53,131.25,0.0,0.0,123.53,123.53,123.53
RAS Lakmal,63.64,66.67,50.0,63.64,63.64,63.64,63.64
JDF Vandersay,85.19,84.62,100.0,85.19,85.19,85.19,85.19
MJ Henry,114.29,117.65,100.0,114.29,100.0,114.29,114.29
PJ Moor,158.33,158.33,158.33,158.33,158.33,158.33,158.33
WP Masakadza,106.17,101.28,106.17,0.0,106.17,280.0,106.17
Nurul Hasan,131.51,133.33,141.67,131.51,81.82,125.0,131.51
Muktar Ali,123.08,123.08,123.08,123.08,123.08,123.08,123.08
MJ Santner,148.95,154.87,91.67,125.0,100.0,150.0,66.67
Abu Hider,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Taskin Ahmed,97.13,109.15,30.77,50.0,97.13,60.0,42.86
BTJ Wheal,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Waqas Barkat,104.55,104.55,104.55,104.55,104.55,104.55,104.55
AJ Tye,101.39,92.19,120.0,101.39,266.67,101.39,101.39
TM Head,165.93,176.92,137.5,50.0,50.0,0.0,165.93
Qadeer Ahmed,63.64,63.64,63.64,63.64,63.64,63.64,63.64
JH Davey,140.0,140.0,140.0,140.0,140.0,140.0,140.0
CJA Amini,176.6,176.6,176.6,176.6,176.6,176.6,176.6
H Hiri,155.32,153.33,200.0,155.32,155.32,155.32,155.32
CA Soper,94.62,94.62,94.62,94.62,94.62,94.62,94.62
AR McBrine,131.71,131.71,131.71,131.71,131.71,131.71,131.71
HH Pandya,164.02,166.52,121.43,100.0,81.82,172.73,100.0
CAK Rajitha,54.35,56.76,50.0,54.35,0.0,66.67,54.35
Fahad Tariq,92.86,92.86,92.86,92.86,92.86,92.86,92.86
SP Patil,59.09,59.09,59.09,59.09,59.09,59.09,59.09
A Balbirnie,116.87,117.11,114.29,116.87,116.87,116.87,116.87
Mehran Khan,132.85,133.09,132.85,132.85,100.0,132.85,132.85
Waqas Khan,98.08,98.08,98.08,98.08,98.08,98.08,98.08
CH Morris,120.78,115.94,162.5,120.78,120.78,120.78,120.78
Mohammad Shahzad,112.5,112.5,112.5,112.5,112.5,112.5,112.5
RJW Topley,85.0,93.33,60.0,85.0,85.0,85.0,85.0
Ahmed Raza,113.89,117.65,113.89,113.89,113.89,50.0,113.89
Muhammad Usman,155.7,155.7,155.7,155.7,155.7,155.7,155.7
A Zampa,77.63,75.0,90.91,77.63,77.63,100.0,77.63
DT Tiripano,109.84,109.84,109.84,109.84,109.84,109.84,109.84
JJ Atkinson,181.08,181.08,181.08,181.08,181.08,181.08,181.08
Anshuman Rath,162.2,162.2,162.2,162.2,162.2,162.2,162.2
LV van Beek,102.7,103.03,100.0,102.7,102.7,100.0,102.7
Jatinder Singh,160.0,160.0,160.0,160.0,160.0,160.0,160.0
JJ Bumrah,66.67,84.62,50.0,66.67,66.67,0.0,66.67
AC Agar,113.76,107.0,113.76,113.76,100.0,200.0,113.76
Soumya Sarkar,166.67,177.5,85.71,166.67,166.67,200.0,166.67
N Pradeep,66.67,60.0,100.0,66.67,50.0,66.67,66.67
E Lewis,236.36,236.36,236.36,236.36,236.36,250.0,200.0
KL Rahul,169.62,164.94,169.62,169.62,169.62,169.62,350.0
SS Pathirana,113.33,113.33,113.33,113.33,113.33,113.33,113.33
DM de Silva,125.35,125.0,57.14,125.35,125.35,125.35,187.5
Ehsan Khan,120.97,120.97,120.97,120.97,120.97,120.97,120.97
Shahid Wasif,97.96,97.96,97.96,97.96,97.96,97.96,97.96
GJ Thompson,88.89,88.89,88.89,88.89,88.89,88.89,88.89
L Tucker,143.98,137.09,200.0,143.98,100.0,143.98,280.0
J Little,84.03,79.65,166.67,84.03,84.03,84.03,166.67
N Pooran,182.13,178.42,211.11,182.13,222.73,257.14,42.86
Mosaddek Hossain,121.74,127.05,75.0,121.74,50.0,125.0,121.74
TC Bruce,140.74,143.75,140.74,140.74,140.74,116.67,140.74
Naseem Khushi,155.37,158.47,155.37,155.37,155.37,33.33,155.37
Khurram Nawaz,114.29,114.29,114.29,114.29,114.29,114.29,114.29
Tanveer Ahmed,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Mohammad Nadeem,137.77,137.97,137.77,137.77,137.77,100.0,137.77
Kaleemullah,101.1,101.11,101.1,101.1,101.1,100.0,101.1
Bilal Khan,54.17,54.17,54.17,54.17,54.17,54.17,54.17
L Ngidi,85.45,88.24,33.33,85.45,85.45,85.45,100.0
DAS Gunaratne,174.47,174.47,174.47,174.47,174.47,174.47,174.47
M Mosehle,200.0,200.0,200.0,200.0,200.0,200.0,200.0
N Dickwella,126.67,126.67,126.67,126.67,126.67,126.67,126.67
BKG Mendis,127.14,128.36,127.14,127.14,100.0,127.14,127.14
RR Pant,144.1,148.88,12.5,166.67,144.1,144.1,144.1
AJ Turner,87.01,89.19,87.01,87.01,87.01,33.33,87.01
JA Richardson,102.7,100.0,57.14,102.7,102.7,300.0,102.7
JRMVB Sanjaya,111.11,111.11,111.11,111.11,111.11,111.11,111.11
JO Holder,158.44,155.4,176.47,158.44,184.62,158.44,158.44
Shadab Khan,163.77,165.12,163.77,140.0,146.15,163.77,163.77
Hasan Ali,156.18,164.56,150.0,0.0,156.18,100.0,156.18
Babar Azam,154.02,154.42,157.14,100.0,300.0,200.0,154.02
Fakhar Zaman,164.33,160.39,311.11,75.0,75.0,164.33,164.33
Mehedi Hasan Miraz,110.71,112.86,66.67,133.33,100.0,110.71,110.71
Mohammad Saifuddin,144.17,144.92,100.0,144.17,144.17,144.17,144.17
MD Dai,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Ghulam Shabber,158.62,160.71,158.62,158.62,100.0,158.62,158.62
Rameez Shahzad,96.88,96.88,96.88,96.88,96.88,96.88,96.88
A Nao,128.85,132.0,50.0,128.85,128.85,128.85,128.85
S Bau,119.59,119.59,119.59,119.59,119.59,119.59,119.59
AL Phehlukwayo,119.0,110.11,190.91,119.0,119.0,119.0,119.0
LS Livingstone,168.98,169.35,183.33,168.98,166.67,100.0,168.98
LA Dawson,203.85,186.96,333.33,203.85,203.85,203.85,203.85
TK Curran,108.7,109.52,100.0,108.7,108.7,108.7,108.7
M Aboagye,93.88,93.88,93.88,93.88,93.88,93.88,93.88
IKO Aboagye,63.64,63.64,63.64,63.64,63.64,63.64,63.64
DK Anefie,152.86,152.86,152.86,152.86,152.86,152.86,152.86
LB Ferbrache,93.42,93.42,93.42,93.42,93.42,93.42,93.42
LC Le Tissier,116.67,116.67,116.67,116.67,116.67,116.67,116.67
ACF Stokes,56.76,56.76,56.76,56.76,56.76,56.76,56.76
W Peatfield,116.67,116.67,116.67,116.67,116.67,116.67,116.67
Amir Mangal,100.0,91.67,100.0,100.0,100.0,100.0,133.33
JE Dunford,137.21,137.21,137.21,137.21,137.21,137.21,137.21
AW Hawkins-Kay,79.59,79.59,79.59,79.59,79.59,79.59,79.59
CW Perchard,112.0,112.0,112.0,112.0,112.0,112.0,112.0
EJB Miles,76.92,76.92,76.92,76.92,76.92,76.92,76.92
SA Ahmad,133.87,133.87,133.87,133.87,133.87,133.87,133.87
Abdul Hashim,84.38,84.38,84.38,84.38,84.38,84.38,84.38
OD Hald,133.75,133.75,133.75,133.75,133.75,133.75,133.75
J Jojo,143.33,143.33,143.33,143.33,143.33,143.33,143.33
Anique Uddin,106.06,106.06,106.06,106.06,106.06,106.06,106.06
Rizwan Mahmood,145.28,145.28,145.28,145.28,145.28,145.28,145.28
Zishan Shah,91.67,91.67,91.67,91.67,91.67,91.67,91.67
Abdullah Sheikh,90.91,90.91,90.91,90.91,90.91,90.91,90.91
S Waqas Ahmed,120.0,120.0,120.0,120.0,120.0,120.0,120.0
Junaid Sheikh,95.0,95.0,95.0,95.0,95.0,95.0,95.0
P Bhart,17.65,17.65,17.65,17.65,17.65,17.65,17.65
GRD Munasinghe,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Baljit Singh,54.17,54.17,54.17,54.17,54.17,54.17,54.17
DR Hooper,97.87,97.87,97.87,97.87,97.87,97.87,97.87
JW Jenner,150.47,150.47,150.47,150.47,150.47,150.47,150.47
DG Blampied,113.51,113.51,113.51,113.51,113.51,113.51,113.51
B Ward,166.5,166.5,166.5,166.5,166.5,166.5,166.5
Khizer Ahmed,109.09,109.09,109.09,109.09,109.09,109.09,109.09
J Sumerauer,152.85,152.85,152.85,152.85,152.85,152.85,152.85
Jaspreet Singh,131.03,131.03,131.03,131.03,131.03,131.03,131.03
Rakibul Hasan,146.15,146.15,146.15,146.15,146.15,146.15,146.15
Delawar Khan,142.98,142.98,142.98,142.98,142.98,142.98,142.98
ND Laegsgaard,163.33,163.33,163.33,163.33,163.33,163.33,163.33
OE Newey,106.67,106.67,106.67,106.67,106.67,106.67,106.67
T Bharaj,154.17,154.17,154.17,154.17,154.17,154.17,154.17
Hassan Rasheed,117.65,117.65,117.65,117.65,117.65,117.65,117.65
MNR Cooray,177.78,177.78,177.78,177.78,177.78,177.78,177.78
WJ Malinda,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Ameel Mauroof,73.24,73.24,73.24,73.24,73.24,73.24,73.24
Z Hoque,92.86,92.86,92.86,92.86,92.86,92.86,92.86
N Pathan,161.9,161.9,161.9,161.9,161.9,161.9,161.9
S Hongsi,168.75,168.75,168.75,168.75,168.75,168.75,168.75
Ahmed Faiz,152.36,152.36,152.36,152.36,152.36,152.36,152.36
Aminuddin Ramly,167.86,167.86,167.86,167.86,167.86,167.86,167.86
S Muniandy,145.98,145.98,145.98,145.98,145.98,145.98,145.98
M Syahadat Ramli,142.27,142.27,142.27,142.27,142.27,142.27,142.27
Anwar Rahman,37.04,37.04,37.04,37.04,37.04,37.04,37.04
Pavandeep Singh,53.97,53.97,53.97,53.97,53.97,53.97,53.97
Fitri Sham,92.59,92.59,92.59,92.59,92.59,92.59,92.59
MR Adair,139.49,142.28,100.0,139.49,139.49,100.0,50.0
SC Getkate,135.59,135.59,135.59,135.59,135.59,135.59,135.59
GJ Delany,153.48,147.93,300.0,100.0,133.33,153.48,153.48
Manpreet Singh,152.44,152.44,152.44,152.44,152.44,152.44,152.44
TH David,191.16,194.76,153.33,191.16,0.0,100.0,200.0
Janak Prakash,144.15,144.15,144.15,144.15,144.15,144.15,144.15
A Krishna,116.67,116.67,116.67,116.67,116.67,116.67,116.67
AE Paraam,217.31,217.31,217.31,217.31,217.31,217.31,217.31
Mohammad Rizlan,83.33,83.33,83.33,83.33,83.33,83.33,83.33
Tamoor Sajjad,134.38,134.38,134.38,134.38,134.38,134.38,134.38
Zaheer Ibrahim,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mohammed Awais,71.43,71.43,71.43,71.43,71.43,71.43,71.43
Iqbal Hussain,124.24,124.24,124.24,124.24,124.24,124.24,124.24
Bilal Tahir,145.67,145.67,145.67,145.67,145.67,145.67,145.67
Muhammad Kashif,194.74,194.74,194.74,194.74,194.74,194.74,194.74
MNM Aslam,136.42,136.42,136.42,136.42,136.42,136.42,136.42
Mohammad Ahsan,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Ilyas Ahmed,107.14,107.14,107.14,107.14,107.14,107.14,107.14
DS Airee,194.77,195.22,194.77,194.77,194.77,194.77,0.0
S Lamichhane,100.0,96.77,166.67,100.0,100.0,100.0,100.0
A Bohara,77.78,80.77,77.78,77.78,77.78,0.0,77.78
Nouman Sarwar,151.06,151.06,151.06,151.06,151.06,151.06,151.06
Usman Waheed,190.91,190.91,190.91,190.91,190.91,190.91,190.91
Shiraz Khan,119.86,119.86,119.86,119.86,119.86,119.86,119.86
RK Paudel,159.33,159.33,159.33,159.33,159.33,159.33,159.33
Virandeep Singh,164.39,164.39,164.39,164.39,164.39,164.39,164.39
Qalandar Khan,169.23,169.23,169.23,169.23,169.23,169.23,169.23
C Pengkumta,126.0,126.0,126.0,126.0,126.0,126.0,126.0
Ibrahim Hassan,86.58,86.58,86.58,86.58,86.58,86.58,86.58
KMA Paul,119.63,121.11,71.43,119.63,119.63,16.67,325.0
O Thomas,56.25,60.0,56.25,56.25,56.25,0.0,56.25
KH Pandya,145.9,145.9,145.9,145.9,145.9,145.9,145.9
Washington Sundar,132.48,134.02,116.67,137.5,150.0,50.0,132.48
SO Hetmyer,146.26,154.81,142.86,146.26,92.86,146.26,137.5
Sikander Zulfiqar,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SA Edwards,147.27,147.01,147.27,266.67,147.27,75.0,147.27
VJ Kingma,56.25,56.25,56.25,56.25,56.25,56.25,56.25
Mohammad Boota,146.67,146.67,146.67,146.67,146.67,146.67,146.67
Waheed Ahmed,202.27,202.27,202.27,202.27,202.27,202.27,202.27
K Suttisan,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Md Shafiqul Haque,69.23,69.23,69.23,69.23,69.23,69.23,69.23
Syed Aziz,146.1,146.1,146.1,146.1,146.1,146.1,146.1
AJ Staal,168.75,168.75,168.75,168.75,168.75,168.75,168.75
DDP D'Silva,123.53,123.53,123.53,123.53,123.53,123.53,123.53
FJ Klaassen,97.44,100.0,0.0,97.44,97.44,97.44,97.44
RP Burl,149.81,147.44,50.0,125.0,149.81,283.33,149.81
TL Chatara,46.0,46.94,46.0,0.0,46.0,46.0,46.0
OGL Bascome,92.0,92.0,92.0,92.0,92.0,92.0,92.0
DMW Rawlins,200.0,200.0,200.0,200.0,200.0,200.0,200.0
MO Jones,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DAP Darrell,128.0,128.0,128.0,128.0,128.0,128.0,128.0
JE Pitcher,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Aaron Jones,126.47,128.72,150.0,126.47,126.47,50.0,126.47
HR Walsh,109.76,111.25,50.0,109.76,109.76,109.76,109.76
TP Allen,133.33,133.33,133.33,133.33,133.33,133.33,133.33
NK Patel,101.27,101.27,101.27,101.27,101.27,101.27,101.27
Ravinderpal Singh,148.99,148.99,148.99,148.99,148.99,148.99,148.99
D Heyliger,174.32,175.14,100.0,174.32,174.32,174.32,174.32
N Dutta,145.71,145.71,145.71,145.71,145.71,145.71,145.71
C Wright,92.44,92.44,92.44,92.44,92.44,92.44,92.44
T Taylor,74.19,74.19,74.19,74.19,74.19,74.19,74.19
TS Fray,136.67,136.67,136.67,136.67,136.67,136.67,136.67
AF Ifill,73.33,73.33,73.33,73.33,73.33,73.33,73.33
LHB Harrington-Myers,116.67,116.67,116.67,116.67,116.67,116.67,116.67
A Morris,42.65,42.65,42.65,42.65,42.65,42.65,42.65
P Manning,57.14,57.14,57.14,57.14,57.14,57.14,57.14
KR Ebanks,28.57,28.57,28.57,28.57,28.57,28.57,28.57
KS Leverock,192.06,192.06,192.06,192.06,192.06,192.06,192.06
NS Dhaliwal,215.79,215.79,215.79,215.79,215.79,215.79,215.79
TK Patel,93.75,93.75,93.75,93.75,93.75,93.75,93.75
SN Netravalkar,85.71,85.71,85.71,85.71,85.71,85.71,85.71
K Gore,146.88,146.88,146.88,146.88,146.88,146.88,146.88
AC Douglas,102.33,102.33,102.33,102.33,102.33,102.33,102.33
S Smith,56.6,56.6,56.6,56.6,56.6,56.6,56.6
Z McLaughlin,37.5,37.5,37.5,37.5,37.5,37.5,37.5
H Thaker,184.48,184.48,184.48,184.48,184.48,184.48,184.48
Saad Bin Zafar,159.64,159.64,159.64,159.64,159.64,159.64,159.64
Jasdeep Singh,92.0,93.15,50.0,92.0,92.0,92.0,92.0
DC Stovell,123.61,123.61,123.61,123.61,123.61,123.61,123.61
Ahmed Wardak,116.67,116.67,116.67,116.67,116.67,116.67,116.67
Abdul-Shakoor Rahimzei,155.1,155.1,155.1,155.1,155.1,155.1,155.1
Sahir Naqash,138.33,140.17,138.33,138.33,138.33,138.33,66.67
KS Bagabena,88.43,88.43,88.43,88.43,88.43,88.43,88.43
Riazat Ali Shah,169.77,169.77,169.77,169.77,169.77,169.77,169.77
IO Okpe,134.99,133.68,134.99,134.99,300.0,134.99,134.99
AA Onikoyi,105.71,105.71,105.71,105.71,105.71,105.71,105.71
AM Oyede,66.67,66.67,66.67,66.67,66.67,66.67,66.67
VD Adewoye,121.57,121.57,121.57,121.57,121.57,121.57,121.57
CN Onwuzulike,119.57,119.57,119.57,119.57,119.57,119.57,119.57
SA Okpe,116.55,116.55,116.55,116.55,116.55,116.55,116.55
G Bakiweyem,79.55,79.55,79.55,79.55,79.55,79.55,79.55
LN Oluoch,104.81,104.81,104.81,104.81,104.81,104.81,104.81
SR Bhudia,136.0,136.0,136.0,136.0,136.0,136.0,136.0
F Nsubuga,112.93,112.93,112.93,112.93,112.93,112.93,112.93
C Waiswa,142.86,142.86,142.86,142.86,142.86,142.86,142.86
DJ Mitchell,174.76,172.47,200.0,0.0,350.0,174.76,174.76
PWH de Silva,129.69,133.95,0.0,129.69,40.0,100.0,100.0
A Dananjaya,91.11,90.0,91.11,91.11,125.0,91.11,0.0
Afif Hossain,122.06,125.0,112.5,122.06,0.0,122.06,122.06
K Birkenstock,182.35,182.35,182.35,182.35,182.35,182.35,182.35
JJ Smit,165.36,166.48,100.0,100.0,165.36,165.36,165.36
JN Frylinck,123.03,124.71,123.03,50.0,123.03,123.03,123.03
Z Groenewald,38.46,38.46,38.46,38.46,38.46,38.46,38.46
D Muhumuza,121.15,121.15,121.15,121.15,121.15,121.15,121.15
E Isaneez,61.54,61.54,61.54,61.54,61.54,61.54,61.54
HG Munsey,107.41,107.41,107.41,107.41,107.41,107.41,107.41
S Snater,109.09,109.09,109.09,109.09,109.09,109.09,109.09
C Floyd,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T Bavuma,128.95,141.94,128.95,100.0,128.95,50.0,128.95
D Pretorius,192.0,192.0,192.0,192.0,192.0,192.0,192.0
SS Iyer,163.39,164.46,57.14,163.39,216.67,225.0,163.39
Navdeep Saini,109.09,109.09,109.09,109.09,109.09,109.09,109.09
A Ndlovu,76.92,76.92,76.92,76.92,76.92,76.92,76.92
OJ Hairs,145.83,145.83,145.83,145.83,145.83,145.83,145.83
S Jora,130.85,123.33,300.0,130.85,130.85,130.85,130.85
Aarif Sheikh,121.28,121.28,121.28,121.28,121.28,121.28,121.28
Sidhant Singh,169.23,169.23,169.23,169.23,169.23,169.23,169.23
Amjad Mahboob,71.74,71.74,71.74,71.74,71.74,71.74,71.74
V Baskaran,72.92,72.92,72.92,72.92,72.92,72.92,72.92
AAhan Achar,80.0,80.0,80.0,80.0,80.0,80.0,80.0
T Munyonga,112.5,116.13,112.5,112.5,112.5,0.0,112.5
C Tommy,105.88,105.88,105.88,105.88,105.88,105.88,105.88
J Rasu,96.36,96.36,96.36,96.36,96.36,96.36,96.36
R Tari,130.23,130.23,130.23,130.23,130.23,130.23,130.23
J Vira,108.11,108.11,108.11,108.11,108.11,108.11,108.11
Nazril Rahman,98.08,98.08,98.08,98.08,98.08,98.08,98.08
Muhammad Wafiq,80.49,80.49,80.49,80.49,80.49,80.49,80.49
Ainool Haqqiem,113.33,113.33,113.33,113.33,113.33,113.33,113.33
NMS Param,136.46,136.46,136.46,136.46,136.46,136.46,136.46
N Nipiko,147.62,147.62,147.62,147.62,147.62,147.62,147.62
Mohamed Arief,125.0,125.0,125.0,125.0,125.0,125.0,125.0
Syazrul Idrus,104.26,104.26,104.26,104.26,104.26,104.26,104.26
SH Obed,115.56,115.56,115.56,115.56,115.56,115.56,115.56
AL Stephen,15.38,15.38,15.38,15.38,15.38,15.38,15.38
PBB Rajapaksa,148.53,144.74,172.73,250.0,100.0,150.0,148.53
Asif Ali,149.12,152.94,162.5,149.12,88.89,80.0,149.12
Mohammad Hasnain,92.31,100.0,0.0,92.31,92.31,92.31,92.31
Faheem Ashraf,141.92,147.94,150.0,141.92,100.0,16.67,28.57
HT Tector,142.71,141.88,100.0,66.67,250.0,142.71,142.71
Haroon Arshad,125.71,125.71,125.71,125.71,125.71,125.71,125.71
Nasrulla Rana,113.87,113.87,113.87,113.87,113.87,113.87,113.87
Mohammad Ghazanfar,68.29,68.29,68.29,68.29,68.29,68.29,68.29
K Christie,73.68,73.68,73.68,73.68,73.68,73.68,73.68
Suraj Kumar,138.46,138.46,138.46,138.46,138.46,138.46,138.46
Sandeep Goud,108.33,108.33,108.33,108.33,108.33,108.33,108.33
Fayyaz Butt,107.75,107.75,107.75,107.75,107.75,107.75,107.75
Anwar Arudin,58.33,58.33,58.33,58.33,58.33,58.33,58.33
W Nalisa,126.0,126.0,126.0,126.0,126.0,126.0,126.0
BOP Fernando,170.59,170.59,170.59,170.59,170.59,170.59,170.59
Iftikhar Ahmed,153.91,160.0,163.64,153.91,100.0,58.33,153.91
Simi Singh,116.67,116.67,116.67,116.67,116.67,116.67,116.67
LN Rajbanshi,47.06,47.06,47.06,47.06,47.06,47.06,47.06
S Chandramohan,182.22,182.22,182.22,182.22,182.22,182.22,182.22
TB Sole,160.47,160.47,160.47,160.47,160.47,160.47,160.47
Simandeep Singh,120.0,120.0,120.0,120.0,120.0,120.0,120.0
SS McKechnie,127.59,128.07,100.0,127.59,127.59,127.59,127.59
Junaid Siddique,101.27,101.37,101.27,100.0,101.27,101.27,101.27
Zahoor Khan,47.83,45.45,47.83,100.0,47.83,47.83,47.83
Aqib Ilyas,120.41,120.41,120.41,120.41,120.41,120.41,120.41
Zeeshan Maqsood,179.23,179.23,179.23,179.23,179.23,179.23,179.23
NA Greenwood,153.7,153.7,153.7,153.7,153.7,153.7,153.7
Sulaimon Runsewe,134.33,134.33,134.33,134.33,134.33,134.33,134.33
CG Williams,156.86,161.62,0.0,156.86,156.86,156.86,156.86
BM Scholtz,94.37,94.37,94.37,94.37,94.37,94.37,94.37
JS Kundi,112.28,112.28,112.28,112.28,112.28,112.28,112.28
L Siaka,165.57,165.57,165.57,165.57,165.57,165.57,165.57
K Doriga,127.93,128.18,100.0,127.93,127.93,127.93,127.93
R Hekure,71.43,71.43,71.43,71.43,71.43,71.43,71.43
J Kila,158.97,158.97,158.97,158.97,158.97,158.97,158.97
HN Ya France,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NR Kumar,196.88,201.61,50.0,196.88,196.88,196.88,196.88
NR Kirton,146.88,146.88,146.88,146.88,146.88,146.88,146.88
JJ Tucker,100.0,100.0,100.0,100.0,100.0,100.0,100.0
D Ravu,67.74,67.74,67.74,67.74,67.74,67.74,67.74
N Pokana,87.88,87.88,87.88,87.88,87.88,87.88,87.88
Chirag Suri,149.02,149.02,149.02,149.02,149.02,149.02,149.02
DM Gondaria,162.5,162.5,162.5,162.5,162.5,162.5,162.5
RN Patel,106.82,106.82,106.82,106.82,106.82,106.82,106.82
D Gim,64.86,64.86,64.86,64.86,64.86,64.86,64.86
CM Akachukwu,94.74,94.74,94.74,94.74,94.74,94.74,94.74
ZE Green,139.68,142.93,25.0,0.0,139.68,139.68,139.68
CN Ackermann,159.72,162.86,159.72,159.72,159.72,50.0,159.72
C Bisson,150.0,150.0,150.0,150.0,150.0,150.0,150.0
O Bascome,131.58,131.58,131.58,131.58,131.58,131.58,131.58
DL Brangman,97.73,97.73,97.73,97.73,97.73,97.73,97.73
JO Adedeji,111.59,111.59,111.59,111.59,111.59,111.59,111.59
Aritra Dutta,108.33,108.33,108.33,108.33,108.33,108.33,108.33
Abraash Khan,138.89,138.89,138.89,138.89,138.89,138.89,138.89
MG Erasmus,162.11,162.11,162.11,162.11,162.11,162.11,162.11
F Stoman,91.94,91.94,91.94,91.94,91.94,91.94,91.94
Najjam Shahzad,155.17,155.17,155.17,155.17,155.17,155.17,155.17
Imran Khan,82.61,82.61,82.61,82.61,82.61,82.61,82.61
BA Pai,133.33,133.33,133.33,133.33,133.33,133.33,133.33
