player_name,death_sr_overall,sr_vs_ra_fast,sr_vs_la_fast,sr_vs_ra_off_spin,sr_vs_ra_leg_spin,sr_vs_la_spin,sr_vs_la_chinaman
AD Mascarenhas,156.92,160.0,156.92,156.92,156.92,120.0,156.92
CP Schofield,114.29,114.29,114.29,114.29,114.29,114.29,114.29
P Utseya,82.95,84.81,82.95,66.67,82.95,66.67,82.95
IK Pathan,175.93,175.93,175.93,175.93,175.93,175.93,175.93
MS Dhoni,144.77,146.3,160.0,144.77,50.0,75.0,60.0
Harbhajan Singh,130.77,130.77,130.77,130.77,130.77,130.77,130.77
AB Agarkar,136.36,136.36,136.36,136.36,136.36,136.36,136.36
S Sreesanth,142.86,142.86,142.86,142.86,142.86,142.86,142.86
DPMD Jayawardene,155.17,155.24,150.0,155.17,155.17,155.17,155.17
LPC Silva,107.69,107.69,107.69,107.69,107.69,107.69,107.69
TM Dilshan,172.96,173.72,172.96,172.96,172.96,133.33,172.96
J Mubarak,160.24,163.75,160.24,160.24,160.24,66.67,160.24
AA Obanda,96.97,96.97,96.97,96.97,96.97,96.97,96.97
LRPL Taylor,146.71,148.87,188.89,37.5,91.67,161.54,146.71
DL Vettori,111.3,111.3,111.3,111.3,111.3,111.3,111.3
ST Jayasuriya,90.91,90.91,90.91,90.91,90.91,90.91,90.91
Abdur Razzak,52.83,52.83,52.83,52.83,52.83,52.83,52.83
AB de Villiers,169.79,175.86,169.79,0.0,66.67,138.46,169.79
CD McMillan,237.5,237.5,237.5,237.5,237.5,237.5,237.5
JS Patel,64.29,64.29,64.29,64.29,64.29,64.29,64.29
VD Philander,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Shoaib Malik,163.81,161.93,137.5,133.33,240.0,211.76,220.0
WPUJC Vaas,80.77,80.77,80.77,80.77,80.77,80.77,80.77
LJ Wright,161.26,161.26,161.26,161.26,161.26,161.26,161.26
NL McCullum,107.28,110.1,107.28,37.5,107.28,107.28,107.28
G Gambhir,102.94,106.25,102.94,102.94,102.94,50.0,102.94
RV Uthappa,117.65,117.65,117.65,117.65,117.65,117.65,117.65
Yuvraj Singh,170.98,176.7,150.0,20.0,170.98,120.0,170.98
RG Sharma,184.53,185.96,216.67,100.0,66.67,184.53,184.53
M Morkel,122.22,122.22,122.22,122.22,122.22,122.22,122.22
Salman Butt,131.25,133.33,131.25,131.25,131.25,120.0,131.25
Imran Nazir,180.0,180.0,180.0,180.0,180.0,180.0,180.0
Sohail Tanvir,112.41,115.32,112.41,57.14,112.41,116.67,112.41
Umar Gul,112.9,116.81,112.9,20.0,112.9,112.9,112.9
AC Voges,122.22,122.22,122.22,122.22,122.22,122.22,122.22
JE Taylor,127.78,122.86,127.78,127.78,127.78,300.0,127.78
GP Swann,120.24,120.24,120.24,120.24,120.24,120.24,120.24
TG Southee,114.63,113.89,107.69,114.63,200.0,114.63,114.63
Fawad Alam,138.82,138.82,138.82,138.82,138.82,138.82,138.82
DR Flynn,135.71,135.71,135.71,135.71,135.71,135.71,135.71
KP Pietersen,124.62,124.62,124.62,124.62,124.62,124.62,124.62
SD Outerbridge,130.77,130.77,130.77,130.77,130.77,130.77,130.77
RJ Trott,32.26,32.26,32.26,32.26,32.26,32.26,32.26
GH O'Brien,80.65,80.65,80.65,80.65,80.65,80.65,80.65
NS Poonia,94.74,94.74,94.74,94.74,94.74,94.74,94.74
GM Hamilton,70.0,70.0,70.0,70.0,70.0,70.0,70.0
GD Drummond,46.67,46.67,46.67,46.67,46.67,46.67,46.67
RD Berrington,161.64,161.9,112.5,161.64,266.67,161.64,161.64
RN ten Doeschate,155.83,155.93,155.83,155.83,150.0,155.83,155.83
DLS van Bunge,70.59,46.15,70.59,70.59,150.0,70.59,70.59
PW Borren,151.92,148.98,151.92,151.92,151.92,200.0,151.92
DT Johnston,132.81,137.7,0.0,50.0,132.81,132.81,132.81
KJ O'Brien,175.29,174.7,175.29,0.0,175.29,266.67,175.29
K Weeraratne,113.33,113.33,113.33,113.33,113.33,113.33,113.33
KMDN Kulasekara,110.65,109.93,110.65,66.67,110.65,166.67,110.65
SE Findlay,118.18,118.18,118.18,118.18,118.18,118.18,118.18
KA Pollard,161.86,162.95,153.33,161.86,120.0,140.0,160.0
CS Baugh,83.33,83.33,83.33,83.33,83.33,83.33,83.33
FH Edwards,78.57,78.57,78.57,78.57,78.57,78.57,78.57
SJ Benn,87.8,87.8,87.8,87.8,87.8,87.8,87.8
JR Hopes,126.83,126.83,126.83,126.83,126.83,126.83,126.83
L Ronchi,142.96,138.66,142.96,177.78,142.96,120.0,142.96
BW Hilfenhaus,20.0,20.0,20.0,20.0,20.0,20.0,20.0
SW Tait,73.33,73.33,73.33,73.33,73.33,73.33,73.33
JP Duminy,171.96,175.14,33.33,125.0,100.0,171.96,171.96
DW Steyn,79.17,79.17,79.17,79.17,79.17,79.17,79.17
RA Jadeja,143.93,144.59,161.54,143.93,143.93,143.93,50.0
YK Pathan,145.12,145.12,145.12,145.12,145.12,145.12,145.12
DJ Hussey,179.39,181.4,179.39,50.0,179.39,179.39,179.39
MC Henriques,139.13,129.31,139.13,139.13,190.91,139.13,139.13
GD Elliott,129.87,130.0,129.87,129.87,129.87,128.57,129.87
A Khan,88.89,88.89,88.89,88.89,88.89,88.89,88.89
LMP Simmons,136.73,132.14,136.73,136.73,136.73,164.29,136.73
RE van der Merwe,154.59,154.59,154.59,154.59,154.59,154.59,154.59
MJ North,90.0,90.0,90.0,90.0,90.0,90.0,90.0
EJG Morgan,174.42,175.68,184.62,77.78,125.0,260.0,174.42
JS Foster,128.57,128.57,128.57,128.57,128.57,128.57,128.57
Raqibul Hasan,107.14,107.14,107.14,107.14,107.14,107.14,107.14
Naeem Islam,114.63,114.63,114.63,114.63,114.63,114.63,114.63
DA Warner,113.08,113.08,113.08,113.08,113.08,113.08,113.08
CS MacLeod,150.29,150.87,150.29,100.0,150.29,150.29,150.29
JF Mooney,133.73,131.25,133.73,133.73,133.73,200.0,133.73
KC Sangakkara,154.66,153.59,154.66,175.0,154.66,154.66,154.66
DP Nannes,121.43,121.43,121.43,121.43,121.43,121.43,121.43
J Smits,66.67,66.67,66.67,66.67,66.67,66.67,66.67
PM Seelaar,127.78,127.78,127.78,127.78,127.78,127.78,127.78
AR White,131.43,131.43,131.43,131.43,131.43,131.43,131.43
AR Cusack,141.67,142.86,100.0,141.67,141.67,141.67,141.67
WK McCallan,84.62,84.62,84.62,84.62,84.62,84.62,84.62
