player_name,death_eco_overall,eco_vs_rhb,eco_vs_lhb
SVE Bharathi,4.08,4.08,4.08
D Klein,6.12,6.12,6.12
Hasan Mahmud,8.15,8.15,8.15
UT Yadav,9.43,9.43,9.43
Amir Hayat,9.0,9.0,9.0
Imran Haider,7.0,7.0,7.0
PKD Chase,9.43,9.43,9.43
Jay Odedra,12.0,12.0,12.0
FA Allen,8.12,8.12,8.12
MP Stoinis,9.0,9.0,9.0
C Munro,11.62,11.62,11.62
RR Emrit,12.72,12.72,12.72
JT Ball,15.86,15.86,15.86
Hamza Tahir,12.6,12.6,12.6
Hussain Talat,9.31,9.31,9.31
Abu Jayed,12.46,12.46,12.46
MD Gunathilaka,7.29,7.29,7.29
V Shankar,11.54,11.54,11.54
Nazmul Islam,4.5,4.5,4.5
Mehedi Hasan Miraz,6.63,6.63,6.63
Mohammed Siraj,8.73,8.73,8.73
OF Smith,9.05,9.05,9.05
R Frylinck,6.46,6.46,6.46
SG Whittingham,7.5,7.5,7.5
B Muzarabani,8.29,8.29,8.29
LT Bichard,7.9,7.9,7.9
M Breban,6.46,6.46,6.46
S Kushretha,9.87,9.87,9.87
WJ Cope,7.26,7.26,7.26
P Malav,10.42,10.42,10.42
V Vijh,9.38,9.38,9.38
M Cope,7.64,7.64,7.64
Murid Ekrami,12.0,12.0,12.0
Saber Zakhil,6.28,6.28,6.28
Khalid Ahmadi,6.38,6.38,6.38
Ashiqullah Said,6.15,6.15,6.15
S Rengarajan,11.5,11.5,11.5
A Ashokan,9.81,9.81,9.81
K Gilham,8.33,8.33,8.33
S Wickramasekara,7.78,7.78,7.78
Sazzad Hosen,11.0,11.0,11.0
V Saini,6.75,6.75,6.75
Aftab Kayani,9.47,9.47,9.47
Sami Ullah,7.23,7.23,7.23
Asif Bevinje,7.2,7.2,7.2
Asad Ali Rehemtulla,8.94,8.94,8.94
P Mishra,10.14,10.14,10.14
Sulaiman Ali,6.67,6.67,6.67
M Faraz Akram,13.5,13.5,13.5
T Natarajan,8.92,8.92,8.92
DR Sams,12.86,12.86,12.86
JA Duffy,8.31,8.31,8.31
KA Jamieson,9.61,9.61,9.61
Iftikhar Ahmed,12.3,12.3,12.3
Mahedi Hasan,10.43,10.43,10.43
Shoriful Islam,9.7,9.7,9.7
B Shikongo,7.92,7.92,7.92
JN Loftie-Eaton,6.94,6.94,6.94
K Waiswa,7.11,7.11,7.11
C Kyewuta,7.94,7.94,7.94
T Bukenya,11.5,11.5,11.5
LB Williams,9.89,9.89,9.89
SSB Magala,9.6,9.6,9.6
A Dutt,8.03,8.03,8.03
BFW de Leede,8.09,8.09,8.09
Arshad Iqbal,7.0,7.0,7.0
KS Airee,7.3,7.3,7.3
Naveed Ahmed,10.8,10.8,10.8
SMK Waththage,5.62,5.62,5.62
Ali Waqar,8.53,8.53,8.53
M Dixit,10.24,10.24,10.24
Jaweed Sadran,9.58,9.58,9.58
Aqib Iqbal,8.3,8.3,8.3
Atif Kamal,5.17,5.17,5.17
Sahel Zadran,7.85,7.85,7.85
I Asif,6.22,6.22,6.22
S Davizi,7.92,7.92,7.92
S Vashisht,8.1,8.1,8.1
P Florin,5.08,5.08,5.08
Ijaz Hussain,7.88,7.88,7.88
Taranjeet Singh,6.49,6.49,6.49
N Zimonjic,8.4,8.4,8.4
WAE Burton,6.65,6.65,6.65
V Zimonjic,8.82,8.82,8.82
M Sarenac,7.83,7.83,7.83
Waqar Abbasi,3.5,3.5,3.5
PWA Mulder,10.14,10.14,10.14
Bilal Muhammad,7.5,7.5,7.5
Washeem Abbas,8.83,8.83,8.83
VP Thamotharam,7.36,7.36,7.36
A Bishnoi,10.38,10.38,10.38
B Niaz,10.71,10.71,10.71
JP Behrendorff,9.75,9.75,9.75
RP Meredith,15.0,15.0,15.0
C Karunaratne,10.63,10.63,10.63
CV Varun,6.53,6.53,6.53
Nasum Ahmed,7.54,7.54,7.54
K Nestor,11.29,11.29,11.29
CV Harrison,7.88,7.88,7.88
JA Fitzgerald,12.65,12.65,12.65
P Vekaria,6.62,6.62,6.62
C Rububagumya,7.89,7.89,7.89
Z Bimenyimana,9.0,9.0,9.0
CJ Delany,13.29,13.29,13.29
A Orfila,14.0,14.0,14.0
J Shaju,6.41,6.41,6.41
R Ravindra,7.0,7.0,7.0
AY Patel,3.0,3.0,3.0
DA Blignaut,7.21,7.21,7.21
Nooruddin Mujadady,18.0,18.0,18.0
P Aho,6.37,6.37,6.37
P Useni,7.66,7.66,7.66
H Ssenyondo,6.06,6.06,6.06
F Akankwasa,2.73,2.73,2.73
D Muhumuza,7.88,7.88,7.88
AK Markram,7.2,7.2,7.2
KA Maharaj,7.4,7.4,7.4
RA Abolarin,8.78,8.78,8.78
Vraj Patel,6.79,6.79,6.79
P Koech,8.48,8.48,8.48
DS Wesonga,9.5,9.5,9.5
EB Ringera,8.74,8.74,8.74
Bilal Hassun,8.31,8.31,8.31
E Ochieng,11.08,11.08,11.08
Tejwinder Singh,6.45,6.45,6.45
Yasir Mehmood,5.19,5.19,5.19
Qasim Anwar,6.0,6.0,6.0
Habib Khan,6.35,6.35,6.35
K Vislapuu,8.08,8.08,8.08
Ali Masood,9.82,9.82,9.82
B White,6.36,6.36,6.36
SM Sharma,13.0,13.0,13.0
Basil Hameed,7.33,7.33,7.33
R Trumpelmann,9.46,9.46,9.46
CN Greaves,8.97,8.97,8.97
Kashif Daud,8.92,8.92,8.92
C Campher,8.53,8.53,8.53
GP Meade,8.43,8.43,8.43
G Stewart,6.58,6.58,6.58
S Thanikaithasan,8.73,8.73,8.73
SK Awiah,6.1,6.1,6.1
OH Agbomadzie,6.36,6.36,6.36
Muslim Yar,6.1,6.1,6.1
Sami Sohail,7.66,7.66,7.66
M Mwamadi,5.2,5.2,5.2
GK Berg,7.94,7.94,7.94
Sahir Naqash,8.08,8.08,8.08
Aziz Sualley,3.5,3.5,3.5
D Kalvin,9.67,9.67,9.67
M Jele,6.64,6.64,6.64
RJG Palmer,8.71,8.71,8.71
D Birrell,7.57,7.57,7.57
Surya Anand,9.48,9.48,9.48
KS Bagabena,8.4,8.4,8.4
DK Anefie,7.52,7.52,7.52
R Bakum,7.45,7.45,7.45
Amar Sharma,7.82,7.82,7.82
Arjun Vinod,9.0,9.0,9.0
Ali Nayyer,9.28,9.28,9.28
Osama Mahmood,8.12,8.12,8.12
SKDT Madusanka,12.39,12.39,12.39
SR Rocket,10.47,10.47,10.47
HL Harji,11.7,11.7,11.7
R Agamiire,2.31,2.31,2.31
V Mitari,5.65,5.65,5.65
K Irakoze,10.18,10.18,10.18
M Kpaka,8.0,8.0,8.0
ED Silva,7.42,7.42,7.42
Nawaf Ahmed,5.18,5.18,5.18
S Veerapathiran,11.27,11.27,11.27
Adnan Idrees,9.95,9.95,9.95
MNM Aslam,7.54,7.54,7.54
G Sesay,5.95,5.95,5.95
Zahid Khan,8.0,8.0,8.0
S Conteh,7.05,7.05,7.05
D Maisuria,5.87,5.87,5.87
R Nehonde,9.53,9.53,9.53
K Motlanka,6.71,6.71,6.71
S Thakor,6.77,6.77,6.77
AM Kimote,8.5,8.5,8.5
HA Chohan,7.46,7.46,7.46
RL Chase,7.8,7.8,7.8
C Bah,9.91,9.91,9.91
LS Livingstone,9.17,9.17,9.17
J Matharu,8.04,8.04,8.04
RK Kiseto,5.0,5.0,5.0
HV Patel,10.63,10.63,10.63
Yasir Mohammad,9.43,9.43,9.43
Ali Khan,9.58,9.58,9.58
AJ Hosein,7.54,7.54,7.54
M Theekshana,8.21,8.21,8.21
N Thushara,10.13,10.13,10.13
DS Airee,7.93,7.93,7.93
Mohammad Wasim,8.45,8.45,8.45
T Zotos,6.0,6.0,6.0
Aslam Mohammad,8.67,8.67,8.67
AS Mehmi,9.36,9.36,9.36
GC Galanis,5.5,5.5,5.5
S Gasteratos,6.0,6.0,6.0
Sheraz Sheikh,10.69,10.69,10.69
NT Ellis,7.74,7.74,7.74
Noman Amjad,8.48,8.48,8.48
Usman Khan,7.33,7.33,7.33
Rahmatullah Mangal,6.86,6.86,6.86
P Bhart,8.33,8.33,8.33
Bilal Safdar,5.75,5.75,5.75
Vinay Ravi,7.89,7.89,7.89
Sajid Liaqat,8.96,8.96,8.96
MK Anafie,10.33,10.33,10.33
Amoluk Singh,10.11,10.11,10.11
M Akayezu,7.85,7.85,7.85
MB Tambe,9.35,9.35,9.35
Raaz Mohammad,7.7,7.7,7.7
Hassan Mehmood,11.04,11.04,11.04
A Venkatesh,9.66,9.66,9.66
Khalid Zahid,8.72,8.72,8.72
PF Gallagher,4.56,4.56,4.56
Naveed Shahid,7.5,7.5,7.5
Qudratullah Mir Afzail,10.91,10.91,10.91
L Karlsson,7.75,7.75,7.75
A Pusthay,8.0,8.0,8.0
GT Main,11.04,11.04,11.04
KV Morea,9.84,9.84,9.84
HN Ya France,5.75,5.75,5.75
Gurdeep Singh,4.0,4.0,4.0
V Ganesan,5.78,5.78,5.78
PD Hennessy,7.5,7.5,7.5
D Nikolov,12.63,12.63,12.63
J Albin,12.65,12.65,12.65
M Kadyan,8.04,8.04,8.04
H Lakov,9.53,9.53,9.53
KD Mehta,6.0,6.0,6.0
Ali Yalmaz,9.21,9.21,9.21
Zeeshan Kukikhel,9.0,9.0,9.0
AG Weligamage,12.75,12.75,12.75
B George,11.04,11.04,11.04
HV Mandhyan,7.25,7.25,7.25
A Kheterpal,8.85,8.85,8.85
A Dhingra,9.12,9.12,9.12
B Arora,12.0,12.0,12.0
A Nanda,11.16,11.16,11.16
VR Iyer,9.79,9.79,9.79
Gurpratap Singh,5.52,5.52,5.52
J Butler,6.75,6.75,6.75
MJ Ansell,5.24,5.24,5.24
CJ Langford,6.83,6.83,6.83
JA Burrows,6.94,6.94,6.94
Waqar Ali,4.62,4.62,4.62
T Filer,6.0,6.0,6.0
CPPM Sadun,7.11,7.11,7.11
KP Meiyappan,8.12,8.12,8.12
Akif Raja,6.0,6.0,6.0
Waseem Muhammad,12.95,12.95,12.95
L Bruce,8.81,8.81,8.81
BA Pai,9.83,9.83,9.83
B Kalki Kumar,7.38,7.38,7.38
A Andrews,6.5,6.5,6.5
Ashwin Vinod,7.75,7.75,7.75
NK Aneesh Kumar,8.57,8.57,8.57
Bilal Aftab,7.0,7.0,7.0
Ghulam Ahmadi,7.29,7.29,7.29
N Krishna,15.16,15.16,15.16
D Kansonkho,6.96,6.96,6.96
AB Mengoumou,10.8,10.8,10.8
M Fru,12.5,12.5,12.5
DB Loic,7.5,7.5,7.5
BN Toube,7.4,7.4,7.4
E Ernest,8.77,8.77,8.77
S Tarawally,7.25,7.25,7.25
SF Nhavotso,7.71,7.71,7.71
JJ Huo,8.22,8.22,8.22
J Bulele,8.88,8.88,8.88
FA Cossa,7.94,7.94,7.94
A Rangaswamy,5.0,5.0,5.0
B Khumalo,10.8,10.8,10.8
JB Abega,11.56,11.56,11.56
K Nassoro,6.99,6.99,6.99
Jitin Singh,10.0,10.0,10.0
JC Darji,8.5,8.5,8.5
A Gbla,7.89,7.89,7.89
L Lamin,10.5,10.5,10.5
Ishtiaq Ahmad,7.57,7.57,7.57
Waseeq Ahmed,10.06,10.06,10.06
KJ Young,10.5,10.5,10.5
Garret Banner,6.33,6.33,6.33
BS Stephenson,10.85,10.85,10.85
TW Samuels,12.0,12.0,12.0
C Pervez,8.5,8.5,8.5
D Ahir,10.0,10.0,10.0
N Ahir,12.69,12.69,12.69
KB Ahir,10.5,10.5,10.5
Abdullah Jasat,8.59,8.59,8.59
NN Banner,9.12,9.12,9.12
AA Banner,8.5,8.5,8.5
A Husain,5.54,5.54,5.54
LA Musiani,5.0,5.0,5.0
Irfan Hafejee,5.75,5.75,5.75
Salman Nazar,4.42,4.42,4.42
SA Jumbe,8.42,8.42,8.42
Ravi Bishnoi,8.19,8.19,8.19
Huzaifa Mohammed,7.25,7.25,7.25
HER Tyler,11.92,11.92,11.92
M Podosky,9.5,9.5,9.5
Kaleem Sana,6.6,6.6,6.6
Haider Butt,6.92,6.92,6.92
Junaid Aziz,7.12,7.12,7.12
DC Drakes,11.36,11.36,11.36
Avesh Khan,10.78,10.78,10.78
DJ Hooda,3.67,3.67,3.67
G Chohan,11.28,11.28,11.28
Gulsan Jha,6.0,6.0,6.0
Shahid Mahmood,17.5,17.5,17.5
AR McBrine,9.33,9.33,9.33
Sikder Billah,4.64,4.64,4.64
H Thaker,6.04,6.04,6.04
S Dhakal,10.26,10.26,10.26
BJ Dwarshuis,9.45,9.45,9.45
DO Leicher,4.5,4.5,4.5
MWR Stokes,8.28,8.28,8.28
Ahmadullah Shinwari,6.98,6.98,6.98
Wahidullah Sahak,8.96,8.96,8.96
LA Burns,5.89,5.89,5.89
Mohammad Asaduzzaman,6.92,6.92,6.92
Amjad Sher,9.31,9.31,9.31
Abdullah Mahmood,4.65,4.65,4.65
SA Mohandas,9.24,9.24,9.24
Jaison Jerome,11.81,11.81,11.81
M Whelan,11.37,11.37,11.37
S Bodha,10.07,10.07,10.07
R Cunningham,12.0,12.0,12.0
Sazib Bhuiyan,8.32,8.32,8.32
SJ Patel,6.55,6.55,6.55
Ritik Tomar,8.18,8.18,8.18
Omar Rassol,11.4,11.4,11.4
BP Adapaka,7.29,7.29,7.29
S Sengupta,8.43,8.43,8.43
DV Varghese,8.65,8.65,8.65
M Gouws,9.65,9.65,9.65
R Kumar,10.0,10.0,10.0
C Zavoiu,7.42,7.42,7.42
M Gherasim,6.26,6.26,6.26
Ahsan Khan,10.75,10.75,10.75
Khaibar Deldar,7.93,7.93,7.93
W Madhevere,5.08,5.08,5.08
KIC Asalanka,5.73,5.73,5.73
Shahil Momin,7.85,7.85,7.85
H Fennell,8.27,8.27,8.27
T Rossi,8.9,8.9,8.9
J Jagroo,6.5,6.5,6.5
RP Mitchell,11.06,11.06,11.06
MS Graham,8.0,8.0,8.0
B Dugic,15.0,15.0,15.0
NR Johns-Wickberg,7.42,7.42,7.42
Umran Malik,11.27,11.27,11.27
Ahmad Khalid Ahmadzai,7.43,7.43,7.43
Aziz Mohammad,7.94,7.94,7.94
Shagharai Sefat,4.5,4.5,4.5
Mohammad Kamran,6.88,6.88,6.88
Sajad Ahmadzai,8.06,8.06,8.06
Yair Nagavkar,8.53,8.53,8.53
J Evans,6.55,6.55,6.55
Niv Nagavkar,8.91,8.91,8.91
Imran Ameer,7.38,7.38,7.38
IDM Latin,10.17,10.17,10.17
ND Laegsgaard,6.3,6.3,6.3
SI Kamea,8.63,8.63,8.63
NA Karnik,12.6,12.6,12.6
Azyan Farhath,6.7,6.7,6.7
Ahmed Hassan,6.5,6.5,6.5
Ngawang Thinley,8.21,8.21,8.21
J Singye,7.23,7.23,7.23
Namgay Thinley,7.33,7.33,7.33
S Pradhan,7.48,7.48,7.48
Arshdeep Singh,9.1,9.1,9.1
RJ Gleeson,11.67,11.67,11.67
Itibarshah Deedar,9.0,9.0,9.0
SKS Gill,7.89,7.89,7.89
G Venkateswaran,10.71,10.71,10.71
TK Lal,7.85,7.85,7.85
SL Clephane,10.59,10.59,10.59
Abdullah Akbarjan,6.65,6.65,6.65
Umair Tariq,7.5,7.5,7.5
K Cawte,9.05,9.05,9.05
M Ozturk,7.91,7.91,7.91
A Turkmen,8.52,8.52,8.52
GG Alta,9.88,9.88,9.88
M Koli,8.75,8.75,8.75
Ameel Mauroof,10.0,10.0,10.0
S Desungnoen,7.38,7.38,7.38
K Senamontree,6.72,6.72,6.72
T Yotharat,5.08,5.08,5.08
T Wangchuk,8.21,8.21,8.21
A Mene-Ejegi,8.67,8.67,8.67
MV Pavlovic,8.46,8.46,8.46
AA Gajic,7.29,7.29,7.29
Tarun Yadav,5.74,5.74,5.74
KC D'Souza,6.0,6.0,6.0
HJ Manenti,6.63,6.63,6.63
Bashar Khan,4.39,4.39,4.39
G Fatouros,7.66,7.66,7.66
Alexandros Karvelas,9.24,9.24,9.24
SD Valjalo,10.25,10.25,10.25
JD Newton,3.12,3.12,3.12
B Jerkovic,12.33,12.33,12.33
TJG Pringle,8.73,8.73,8.73
F Nsubuga,7.4,7.4,7.4
M Jenkinson,7.0,7.0,7.0
JM Vujinovich,9.79,9.79,9.79
Ali Hasan,5.68,5.68,5.68
S Tosic,11.76,11.76,11.76
Muhammad Shoaib Ahmed,8.84,8.84,8.84
NK Tiwari,11.29,11.29,11.29
CJPF Kalugamage,2.0,2.0,2.0
A Martel,5.68,5.68,5.68
R Mangal,5.72,5.72,5.72
Zain Ahmad,8.08,8.08,8.08
Ibrahim Jabarkhel,3.5,3.5,3.5
Taher Muhammad,14.0,14.0,14.0
Muhammad Siddiqui,9.67,9.67,9.67
S Koppolu,9.71,9.71,9.71
Ayyaz Qureshi,10.0,10.0,10.0
Faheem Nazir,8.78,8.78,8.78
G Mckeon,7.1,7.1,7.1
MMR Obili,11.5,11.5,11.5
K Fletcher,6.38,6.38,6.38
Awais Ikram,12.82,12.82,12.82
BV Sears,9.03,9.03,9.03
AS Joseph,8.47,8.47,8.47
Abul Farhad,8.63,8.63,8.63
DK Pallekonda,10.55,10.55,10.55
TL Chivanga,7.2,7.2,7.2
Jai Sinh,8.2,8.2,8.2
VM Nyauchi,8.0,8.0,8.0
B Evans,10.19,10.19,10.19
Sachin Kumar,10.11,10.11,10.11
Mohamed Shafeeq,8.22,8.22,8.22
AM Fernando,12.39,12.39,12.39
D Madushanka,10.1,10.1,10.1
Ebadat Hossain,10.09,10.09,10.09
D Wotu,8.59,8.59,8.59
RSK Samson,7.0,7.0,7.0
S Sola,11.41,11.41,11.41
T Ritawa,9.68,9.68,9.68
W Kokaua,9.66,9.66,9.66
SM Tupou,7.03,7.03,7.03
P Cabebula,7.03,7.03,7.03
SF Tiai,8.58,8.58,8.58
CK Jasmat,8.37,8.37,8.37
AJ Michael,10.2,10.2,10.2
L Denny,10.29,10.29,10.29
DP Michael,11.2,11.2,11.2
TS Waqavakatoga,4.8,4.8,4.8
W Nalisa,8.9,8.9,8.9
Obed Yosef,8.0,8.0,8.0
AR Ramjani,5.03,5.03,5.03
J Miyaji,5.48,5.48,5.48
I Master,10.15,10.15,10.15
V Balakrishnan,6.0,6.0,6.0
D Finau,10.42,10.42,10.42
F Damiao Couana,15.0,15.0,15.0
Z Abbasi,3.84,3.84,3.84
T Tshose,10.38,10.38,10.38
C Green,9.72,9.72,9.72
MA Baig,6.15,6.15,6.15
Akhil Anil,10.08,10.08,10.08
YM Nkanya,7.05,7.05,7.05
IKEG Artawan,7.58,7.58,7.58
DJ Hawoe,7.46,7.46,7.46
S Ravichandran,5.54,5.54,5.54
I Takahashi,6.43,6.43,6.43
PM Liyanagamage,10.0,10.0,10.0
P Kumbhare,6.37,6.37,6.37
K Kubota,6.49,6.49,6.49
R Sakurano-Thomas,9.65,9.65,9.65
IK Gamantika,5.03,5.03,5.03
W Behr,8.33,8.33,8.33
J Broad,8.14,8.14,8.14
M Campopiano,4.5,4.5,4.5
DKD Warnakulasuriya,10.25,10.25,10.25
Hamza Dar,9.93,9.93,9.93
S Shrivastava,5.29,5.29,5.29
Ayan Khan,6.96,6.96,6.96
Pargat Singh,11.54,11.54,11.54
Ammar Khalid,7.58,7.58,7.58
Rizwan Butt,7.18,7.18,7.18
Atif-Ur-Rehman,5.18,5.18,5.18
Muhammad Saqib,14.25,14.25,14.25
Hisham Sheikh,5.4,5.4,5.4
Rafiullah,11.25,11.25,11.25
Sandeep Goud,10.62,10.62,10.62
J Henry,7.58,7.58,7.58
A Yon,4.5,4.5,4.5
B Pondani,9.0,9.0,9.0
MS Diawara,7.64,7.64,7.64
SG Diaby,8.86,8.86,8.86
L Sanogo,6.48,6.48,6.48
RN Patel,6.19,6.19,6.19
Usman Najeeb,8.81,8.81,8.81
C Udekwe,5.72,5.72,5.72
R Abdulkareem,6.0,6.0,6.0
A Turay,7.82,7.82,7.82
RGA Amah,8.14,8.14,8.14
R Coker,8.0,8.0,8.0
G Ngegba,3.0,3.0,3.0
JJ Nyambo,6.88,6.88,6.88
AN Toube,5.5,5.5,5.5
RD Atangana,8.5,8.5,8.5
O Touray,15.33,15.33,15.33
Ismaila Tanba,9.75,9.75,9.75
M Jobarteh,12.13,12.13,12.13
R Baaleri,9.6,9.6,9.6
N Ndouteng,17.5,17.5,17.5
E Niyomugabo,7.83,7.83,7.83
J Baguma,5.22,5.22,5.22
I Ntirenganya,6.88,6.88,6.88
M Yunusu Issa,9.14,9.14,9.14
E Sebareme,8.2,8.2,8.2
Shivam Mavi,9.0,9.0,9.0
GI Hume,7.71,7.71,7.71
BG Lister,8.23,8.23,8.23
AAP Rivero,4.99,4.99,4.99
P Arrighi,9.79,9.79,9.79
C Rumistrzewicz,4.39,4.39,4.39
Robiul Khan,8.0,8.0,8.0
S Rossi,9.36,9.36,9.36
RDB Ahir,7.68,7.68,7.68
A Kirschbaum,6.0,6.0,6.0
Z Burgess,5.32,5.32,5.32
A Natubhai Ahir,6.22,6.22,6.22
D Johnson,8.66,8.66,8.66
Bilal Tahir,6.0,6.0,6.0
Shahrukh Quddus,11.49,11.49,11.49
Mohammad Ghazanfar,9.29,9.29,9.29
Abdul Majid Abbasi,5.93,5.93,5.93
M Jansen,9.0,9.0,9.0
RA Reifer,18.0,18.0,18.0
F Hand,6.27,6.27,6.27
HB Shipley,12.77,12.77,12.77
J Horrocks,8.11,8.11,8.11
Syed Maisam Ali,6.64,6.64,6.64
Zaman Khan,12.18,12.18,12.18
Naseem Shah,8.39,8.39,8.39
D Marks,9.0,9.0,9.0
Fanyan Mughal,10.2,10.2,10.2
Saud Munir,6.99,6.99,6.99
Akhil Arjunan,4.38,4.38,4.38
Lucky Ali,6.46,6.46,6.46
Qamar Mushtaque,6.84,6.84,6.84
S Nsubuga,4.32,4.32,4.32
M Mooketsi,10.23,10.23,10.23
Ameer Saiyed,8.74,8.74,8.74
B Kgosiemang,9.1,9.1,9.1
K Piet,8.4,8.4,8.4
Muhammed Turkmen,10.08,10.08,10.08
Ilyas Ataullah,8.64,8.64,8.64
Muhammet Kursat,3.23,3.23,3.23
I Elec,0.92,0.92,0.92
Murat Yilmaz,10.94,10.94,10.94
Mohamed Khan,6.5,6.5,6.5
Abubacarr Kuyateh,9.18,9.18,9.18
Mustapha Suwareh,17.25,17.25,17.25
Andre Jarju,12.0,12.0,12.0
Abdul Bashir,11.52,11.52,11.52
Waqas Ahmad,6.86,6.86,6.86
E Jabarkhel,8.95,8.95,8.95
SM Warnakulasuriya,10.0,10.0,10.0
E Mathew,9.0,9.0,9.0
NA Greenwood,6.23,6.23,6.23
Zahid Zadran,10.05,10.05,10.05
BJ Currie,7.55,7.55,7.55
ASF Sirah,6.81,6.81,6.81
LJ Myott,6.25,6.25,6.25
D Suzuki,8.98,8.98,8.98
J Kariko,7.02,7.02,7.02
BAD Manenti,9.67,9.67,9.67
S di Bartolomeo,2.4,2.4,2.4
MM Siddique,5.28,5.28,5.28
Pyae Phyo Wai,8.32,8.32,8.32
Aung Ko Ko,5.52,5.52,5.52
H Lin Oo,8.91,8.91,8.91
H Lin Aung,7.74,7.74,7.74
Karma Dorji,6.0,6.0,6.0
FN Walsh,12.33,12.33,12.33
S Bau,8.77,8.77,8.77
Chen Zhuo Yue,10.2,10.2,10.2
Ma Qiancheng,8.94,8.94,8.94
Tian Sen Qun,12.0,12.0,12.0
Nyeing Cham Soe,10.62,10.62,10.62
Thuya Aung,8.25,8.25,8.25
Mukesh Kumar,8.09,8.09,8.09
A Maheshwari,14.33,14.33,14.33
M Prasidh Krishna,10.91,10.91,10.91
M Prasanna,12.32,12.32,12.32
R Athapaththu,8.59,8.59,8.59
E Rukiriza,7.43,7.43,7.43
E Kubwimana,10.47,10.47,10.47
Shaik Basha,10.08,10.08,10.08
J Sebanja,9.0,9.0,9.0
L Wood,9.26,9.26,9.26
BA Carse,10.87,10.87,10.87
G Coetzee,9.2,9.2,9.2
SH Johnson,7.3,7.3,7.3
JM Iradukunda,7.64,7.64,7.64
AM Hardie,11.7,11.7,11.7
Ali Dawood,6.3,6.3,6.3
Muhammad Jabir,9.14,9.14,9.14
Muhammad Murad,8.19,8.19,8.19
Yasin Patel,7.33,7.33,7.33
D Jamyansuren,15.0,15.0,15.0
M Altankhuyag,19.41,19.41,19.41
L Erdenebulgan,11.2,11.2,11.2
Muhammad Tanveer,6.91,6.91,6.91
K Mirpuri,14.52,14.52,14.52
Aditya Panwar,9.29,9.29,9.29
D Robson,7.48,7.48,7.48
Arslan Amjad,10.41,10.41,10.41
RK Paudel,6.83,6.83,6.83
Adnan Mirza,11.0,11.0,11.0
Bipin Kumar,10.11,10.11,10.11
Khalander Mustafa,8.1,8.1,8.1
H Rathod,6.13,6.13,6.13
Zain Ul Abidin,6.98,6.98,6.98
Ibrahim Nashath,8.17,8.17,8.17
DS Bajwa,7.6,7.6,7.6
ROC Dunka,10.81,10.81,10.81
D Sabir,5.79,5.79,5.79
DL Brangman,6.29,6.29,6.29
A Morris,11.8,11.8,11.8
KA Bazil,13.5,13.5,13.5
FL Patel,10.89,10.89,10.89
AR Naidoo,22.0,22.0,22.0
A Reyes,6.09,6.09,6.09
Muhammad Nadir,5.85,5.85,5.85
M Aboagye,7.77,7.77,7.77
Syed Aqeel Israr,6.26,6.26,6.26
I Danladi,6.83,6.83,6.83
A Sawyer,9.43,9.43,9.43
I Kamara,2.84,2.84,2.84
Ali Naseer,7.94,7.94,7.94
Muhammad Jawadullah,9.09,9.09,9.09
Shoaib Rafiq,3.25,3.25,3.25
Shashikant Laxman,4.5,4.5,4.5
Pratik Singh Bais,4.89,4.89,4.89
Nilansh Keswani,6.67,6.67,6.67
A Shukla,10.79,10.79,10.79
Aayan Afzal Khan,4.12,4.12,4.12
CT Mumba,9.0,9.0,9.0
Guido Angeletti,6.16,6.16,6.16
H Klazinge,6.39,6.39,6.39
Luis Hermida,8.57,8.57,8.57
C Sakariya,8.73,8.73,8.73
Sher Sahak,7.44,7.44,7.44
Usman Arif,11.68,11.68,11.68
Imran Khan,8.29,8.29,8.29
M Stoman,7.2,7.2,7.2
Dharmendra Manani,6.92,6.92,6.92
Mohammad Nawaz,6.5,6.5,6.5
Shohidul Islam,9.86,9.86,9.86
IG Holland,5.42,5.42,5.42
GT Taylor,8.62,8.62,8.62
TO Carmichael,9.23,9.23,9.23
Shahnawaz Dhani,10.96,10.96,10.96
Fayaz Khan,8.63,8.63,8.63
Muhammad Amir,6.65,6.65,6.65
Mohammad Aadil Alam,6.0,6.0,6.0
K Bhurtel,7.66,7.66,7.66
Walid Ghauri,9.0,9.0,9.0
R Satheesan,9.53,9.53,9.53
Hamid Mahmood,3.45,3.45,3.45
Zaker Taqawi,6.52,6.52,6.52
Azam Khalil,7.94,7.94,7.94
Tasaduq Hussain,7.0,7.0,7.0
Amandeep Singh,9.11,9.11,9.11
Baz Aybui,5.0,5.0,5.0
Ali Abdulla Popalzae,9.0,9.0,9.0
M Shahbaz Butt,3.0,3.0,3.0
Yasim Murtaza,7.8,7.8,7.8
VM Vaghela,1.5,1.5,1.5
Sachin Ganpat Shinde,11.08,11.08,11.08
Aamer Jamal,10.15,10.15,10.15
Basir Ahamad,7.0,7.0,7.0
SDJJ Dima,12.75,12.75,12.75
Gagandeep Singh,8.24,8.24,8.24
Asif Iqbal,10.0,10.0,10.0
Sana Ullah,4.5,4.5,4.5
Alam Nakash,11.5,11.5,11.5
Aamir Lal,5.81,5.81,5.81
Kim Daeyeon,9.5,9.5,9.5
YYM Jakda,7.2,7.2,7.2
Waseem Yaqoob,13.42,13.42,13.42
LM Gabriel,9.6,9.6,9.6
TD Chaoana,10.67,10.67,10.67
ME Leoela,6.67,6.67,6.67
D Polpitiya,5.33,5.33,5.33
Mohammed Alamgir,7.5,7.5,7.5
Muhammed Manga,10.91,10.91,10.91
